name,category,Link
Pin sạc dự phòng Polymer 10.000 mAh Type C PD QC3.0 18W Xmobile PowerSlim PJ JP213,/sac-dtdd/sac-du-phong-10000mah-type-c-powerslim-jp213,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-powerslim-jp213
Pin sạc dự phòng Polymer 10.000mAh không dây Type C PD QC3.0 18W Xmobile P66D,/sac-dtdd/sac-du-phong-polymer-10000mah-type-c-p66d-xam,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-type-c-p66d-xam
Điện thoại iPhone 15 Pro Max 256GB,/dtdd/iphone-15-pro-max,https://www.thegioididong.com/dtdd/iphone-15-pro-max
Điện thoại Samsung Galaxy S23 Ultra 5G 8GB/256GB,/dtdd/samsung-galaxy-s23-ultra,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra
Điện thoại OPPO Reno11 F 5G 8GB/256GB Tím,/dtdd/oppo-reno11-f-5g,https://www.thegioididong.com/dtdd/oppo-reno11-f-5g
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,/dtdd/xiaomi-redmi-note-13,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13
Điện thoại vivo Y100 8GB/256GB,/dtdd/vivo-y100,https://www.thegioididong.com/dtdd/vivo-y100
Điện thoại realme C65 8GB/256GB,/dtdd/realme-c65,https://www.thegioididong.com/dtdd/realme-c65
Điện thoại Samsung Galaxy A55 5G 12GB/256GB,/dtdd/samsung-galaxy-a55-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
Điện thoại iPhone 13 128GB,/dtdd/iphone-13,https://www.thegioididong.com/dtdd/iphone-13
Điện thoại Samsung Galaxy M54 5G 8GB/256GB,/dtdd/samsung-galaxy-m54,https://www.thegioididong.com/dtdd/samsung-galaxy-m54
Điện thoại Xiaomi Redmi Note 13 Pro 8GB/128GB,/dtdd/xiaomi-redmi-note-13-pro,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-13-pro
Điện thoại OPPO A58 8GB/128GB,/dtdd/oppo-a58-4g,https://www.thegioididong.com/dtdd/oppo-a58-4g
Điện thoại realme Note 50 3GB/64GB,/dtdd/realme-note-50-64gb,https://www.thegioididong.com/dtdd/realme-note-50-64gb
Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,/dtdd/samsung-galaxy-s23-fe,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe
Điện thoại Samsung Galaxy A35 5G 8GB/256GB,/dtdd/samsung-galaxy-a35-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g
Điện thoại vivo Y36 8GB/128GB,/dtdd/vivo-y36-128gb,https://www.thegioididong.com/dtdd/vivo-y36-128gb
Điện thoại OPPO A18 4GB/64GB,/dtdd/oppo-a18,https://www.thegioididong.com/dtdd/oppo-a18
Điện thoại Xiaomi Redmi 13C 4GB/128GB,/dtdd/xiaomi-redmi-13c,https://www.thegioididong.com/dtdd/xiaomi-redmi-13c
Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB,/dtdd/samsung-galaxy-s24-ultra-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
Điện thoại iPhone 15 Pro 128GB,/dtdd/iphone-15-pro,https://www.thegioididong.com/dtdd/iphone-15-pro
Điện thoại Xiaomi Redmi 12 4GB/128GB,/dtdd/xiaomi-redmi-12-4gb,https://www.thegioididong.com/dtdd/xiaomi-redmi-12-4gb
Điện thoại Xiaomi Redmi A3 3GB/64GB,/dtdd/xiaomi-redmi-a3,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3
Điện thoại iPhone 15 Plus 128GB,/dtdd/iphone-15-plus,https://www.thegioididong.com/dtdd/iphone-15-plus
Điện thoại iPhone 15 128GB,/dtdd/iphone-15,https://www.thegioididong.com/dtdd/iphone-15
Điện thoại Samsung Galaxy S24 5G 8GB/256GB,/dtdd/samsung-galaxy-s24-256gb-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
Điện thoại vivo Y03 4GB/128GB,/dtdd/vivo-y03,https://www.thegioididong.com/dtdd/vivo-y03
Điện thoại OPPO Reno11 5G 8GB/256GB,/dtdd/oppo-reno11,https://www.thegioididong.com/dtdd/oppo-reno11
Điện thoại Samsung Galaxy S24+ 5G 12GB/256GB,/dtdd/samsung-galaxy-s24-plus-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g
Điện thoại realme C55 6GB/128GB,/dtdd/realme-c55?utm_flashsale=1,https://www.thegioididong.com/dtdd/realme-c55?utm_flashsale=1
Điện thoại iPhone 11 64GB,/dtdd/iphone-11,https://www.thegioididong.com/dtdd/iphone-11
Điện thoại realme C67 8GB/128GB,/dtdd/realme-c67,https://www.thegioididong.com/dtdd/realme-c67
Điện thoại realme 11 8GB/256GB,/dtdd/realme-11?utm_flashsale=1,https://www.thegioididong.com/dtdd/realme-11?utm_flashsale=1
Điện thoại iPhone 12 64GB,/dtdd/iphone-12,https://www.thegioididong.com/dtdd/iphone-12
Điện thoại realme C53 6GB/128GB,/dtdd/realme-c53,https://www.thegioididong.com/dtdd/realme-c53
Điện thoại iPhone 14 Pro Max 128GB,/dtdd/iphone-14-pro-max,https://www.thegioididong.com/dtdd/iphone-14-pro-max
Điện thoại OPPO A38 6GB/128GB,/dtdd/oppo-a38-6gb,https://www.thegioididong.com/dtdd/oppo-a38-6gb
Điện thoại vivo Y17s 6GB/128GB,/dtdd/vivo-y17s,https://www.thegioididong.com/dtdd/vivo-y17s
Điện thoại OPPO Reno11 Pro 5G 12GB/512GB,/dtdd/oppo-reno11-pro,https://www.thegioididong.com/dtdd/oppo-reno11-pro
Điện thoại Samsung Galaxy A34 5G 8GB/256GB,/dtdd/samsung-galaxy-a34,https://www.thegioididong.com/dtdd/samsung-galaxy-a34
Điện thoại Samsung Galaxy A25 5G 8GB/128GB,/dtdd/samsung-galaxy-a25-8gb,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
Điện thoại Samsung Galaxy A15 5G 8GB/256GB,/dtdd/samsung-galaxy-a15-5g,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
Máy tính bảng iPad 9 WiFi 64GB,/may-tinh-bang/ipad-gen-9,https://www.thegioididong.com/may-tinh-bang/ipad-gen-9
Máy tính bảng iPad Air 6 M2 11 inch WiFi 128GB,/may-tinh-bang/ipad-air-m2-11-inch-wifi-128gb,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-11-inch-wifi-128gb
Máy tính bảng iPad Pro M4 11 inch WiFi 256GB,/may-tinh-bang/ipad-pro-m4-11-inch-wifi-256gb,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-11-inch-wifi-256gb
Máy tính bảng iPad Air 6 M2 13 inch WiFi 128GB,/may-tinh-bang/ipad-air-m2-13-inch-wifi-128gb,https://www.thegioididong.com/may-tinh-bang/ipad-air-m2-13-inch-wifi-128gb
Máy tính bảng iPad Pro M4 13 inch WiFi 256GB,/may-tinh-bang/ipad-pro-m4-13-inch-wifi-256gb,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-256gb
Máy tính bảng OPPO Pad Neo WiFi,/may-tinh-bang/oppo-pad-neo-6gb,https://www.thegioididong.com/may-tinh-bang/oppo-pad-neo-6gb
Máy tính bảng HONOR Pad X9,/may-tinh-bang/honor-pad-x9,https://www.thegioididong.com/may-tinh-bang/honor-pad-x9
Máy tính bảng Samsung Galaxy Tab S6 Lite (2024),/may-tinh-bang/samsung-galaxy-tab-s6-lite-2024,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s6-lite-2024
Máy tính bảng iPad 10 WiFi 64GB,/may-tinh-bang/ipad-gen-10,https://www.thegioididong.com/may-tinh-bang/ipad-gen-10
Máy tính bảng Samsung Galaxy Tab A9 4G,/may-tinh-bang/samsung-galaxy-tab-a9-4g,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-4g
Máy tính bảng Samsung Galaxy Tab A9+ 5G,/may-tinh-bang/samsung-galaxy-tab-a9-plus-5g,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-5g
